[
[-39892, -9859]
[10130, 10163]
[-49939, 50212]
[-29877, -29885]
[-9900, -39894]
[-19858, 40201]
[-9892, -19865]
[-29863, 10163]
[-29914, -49902]
[-19854, -29876]
[-49944, -39892]
[-49912, -39890]
[-39923, 50207]
[50199, 20174]
[-9871, 30182]
[40215, 50206]
[-49944, 30189]
[10140, -19865]
[-49909, 10168]
[-39923, -19874]
[50223, -9863]
[-19892, -29880]
[-29894, -29881]
[10149, 20174]
[-9876, 20171]
[20144, -29880]
[-39873, 50206]
[-9848, 20174]
[-49915, -39894]
[20186, -39896]
[-39913, -29877]
[30192, -49902]
[-9864, -9854]
[-9863, 30184]
[-49887, -49898]
[-49909, -29876]
[-9876, 40199]
[20185, 40196]
[30203, 20179]
[50206, 20170]
[40157, 10168]
[-29922, 40200]
[10167, 20172]
[20141, 10165]
[-9851, 10163]
[10163, 50207]
[-9900, 20179]
[50211, 10160]
[50200, -19870]
[-19863, -39887]
[40203, -29878]
[20145, -49903]
[10162, -9856]
[10138, 30189]
[30189, -9859]
[20170, 40198]
[20183, -49907]
[20184, -39892]
[30157, 20172]
[-49936, 10168]
[40200, -9859]
[50190, -9862]
[-29894, 20170]
[20178, 20171]
[-49928, 30184]
[40188, 10163]
[40171, -49904]
[-39925, -49905]
[20170, -9857]
[-49896, 20175]
[10162, 10161]
[30202, 50208]
[20137, 10168]
[-9860, 50209]
[50193, -39896]
[-19902, 20170]
[10170, 50209]
[40174, 40197]
[-9839, -49906]
[-49893, -49907]
[30177, 40201]
[-9841, -39892]
[40192, 10166]
[40214, -19865]
[30160, 30182]
[30160, 40200]
[40191, 30181]
[10154, 50207]
[-29877, -49902]
[-39909, 30184]
[-39872, 30183]
[40208, 40192]
[-29922, -9856]
[20150, -9863]
[-49920, 20175]
[40214, -19874]
[-49904, -49898]
[30144, -9863]
[30204, 30181]
[30189, -9863]
[-49944, -49900]
[30145, 20179]
[40182, -49903]
[40180, -29885]
[30152, 10167]
[-29909, -39887]
[50178, 20177]
[-9868, 20171]
[-19895, 20177]
[50214, -9862]
[-29906, -39893]
[10183, 40194]
[20149, -49903]
[10180, -19874]
[30168, -19866]
[-39891, -39892]
[20161, -49907]
[40192, -19869]
[-49944, -39890]
[-9888, 30181]
[-39896, -19873]
[-39916, -29885]
[50178, -49901]
[10138, -19870]
[40205, -29881]
[-19853, -9858]
[-19899, -29885]
[-49923, 20176]
[40206, 40201]
[-39875, -49898]
[-29910, 50207]
[10174, -39896]
[30156, 30188]
[40211, 30190]
[-9848, 40201]
[30189, -19872]
[-9876, -39887]
[10130, -49900]
[30194, -9859]
[-39920, 20173]
[40176, 10167]
[50222, -9855]
[-49923, -29884]
[40172, 30190]
[-39885, -29882]
[20141, -19870]
[-49884, -29885]
[-49923, 20178]
[40181, 20174]
[-9852, -9862]
[10165, -39892]
[-9852, -19874]
[50214, -29880]
[40188, 40201]
[-9852, 40198]
[-29894, -39892]
[50199, 10159]
[40200, 50209]
[30189, -49906]
[20141, -19869]
[-49912, 10165]
[30176, -19865]
[30157, 10161]
[40168, 10167]
[40215, 20173]
[10150, -49903]
[-49944, 30189]
[50226, 40201]
[-19911, -9862]
[20146, -39888]
[-9868, -29876]
[-9879, 40201]
[-19854, -9863]
[40195, 30186]
[40195, -9856]
[10131, -39892]
[-9880, 30186]
[-9884, 30187]
[20170, 30182]
[-39922, 20170]
[-39907, -29885]
[20150, -9854]
[40200, -39888]
[20149, -9856]
[30168, 50209]
[-39874, 10159]
[50174, -29884]
[-49944, -9862]
[20141, -49901]
[10155, 50203]
[-29881, 40196]
[-19854, 20170]
[-9895, -49898]
[40200, 10166]
[20157, 50205]
[-19876, -39887]
[-49904, 20178]
[-29922, -19871]
[50214, 30181]
[40173, 40192]
[40211, -29876]
[-19860, 10163]
[30197, 40192]
[40200, -49898]
[-19852, -39896]
[-29874, 10167]
[-39889, 10163]
[-49899, -19871]
[50190, 10159]
[30205, 10168]
[-39889, -39892]
[-39874, 30190]
[20176, -19870]
[-39888, 50203]
[-29898, -39895]
[-9849, -49907]
[-9864, -49903]
[50174, 10163]
[40166, -49902]
[-9879, 10166]
[30152, -9855]
[40187, -49907]
[30171, -29881]
[-19900, 20175]
[-29906, -9857]
[40171, -19870]
[50201, -29885]
[-49944, 30182]
[-49883, -9862]
[50174, 50206]
[-29877, -19867]
[50190, -19870]
[-9871, 30184]
[-9897, -39887]
[-19869, -9859]
[40174, 30190]
[10126, 40201]
[-49886, 20170]
[-39884, -19865]
[10135, -29882]
[50202, 10168]
[40155, 30186]
[40181, 40192]
[-9860, 40201]
[30178, 20179]
[10173, 50207]
[40187, -49900]
[10170, 20172]
[-9892, -19874]
[-19907, -39887]
[30184, 10168]
[30181, 50209]
[20145, -39892]
[-19882, 30183]
[-9863, -9855]
[50191, 40196]
[-39888, -49902]
[-39933, -29885]
[-39920, -19871]
[10178, -39889]
[-29874, 30190]
[-19853, -19869]
[20170, -49900]
[-29889, 10163]
[-29906, 20178]
[40179, 50207]
[-49888, -19865]
[-29874, -49901]
[-49904, -39892]
[50185, 40201]
[-19863, -49900]
[40180, 20170]
[-9884, 40194]
[30168, -9858]
[30164, -9863]
[-49936, 10159]
[-49904, -19871]
[30165, 30189]
[-49888, 20170]
[20169, 50207]
[50177, 40196]
[-19911, -19871]
[30204, 40192]
[-19871, -19870]
[-9884, 40197]
[40187, 50206]
[40179, 40192]
[20133, -29885]
[40192, 10166]
[-39915, -9854]
[50175, -49903]
[-29874, 20177]
[-19863, -9859]
[-49912, -9861]
[-49912, -39893]
[10174, -49903]
[-39875, 10168]
[-9864, -39887]
[-39884, 30181]
[-19895, 10161]
[-29890, 40200]
[40168, -19866]
[-19882, 10160]
[30155, -29885]
[20157, 40197]
[-19892, -39891]
[50185, -19874]
[40184, -29883]
[40205, -29876]
[20133, 10163]
[10143, -49906]
[-29861, -39896]
[20170, 20172]
[30184, -39896]
[-19903, 40194]
[10147, -19870]
[10138, 10166]
[30193, 30181]
[-39875, -39896]
[10170, -19871]
[-39888, 20178]
[40155, 40197]
[-19886, -49903]
[-49932, -49901]
[20145, 40192]
[50206, -49906]
[30201, -29879]
[10135, -39895]
[-29890, -19872]
[-29901, -19869]
[-9879, -9857]
[50190, -19871]
[10170, -29885]
[40192, -39895]
[-19879, 10164]
[-19898, -19865]
[-49910, -9863]
[40200, 10165]
[50206, 10166]
[-19863, -19872]
[40192, -49905]
[50201, 30185]
[-49910, -39892]
[30195, -19865]
[20189, -29878]
[-39922, 20170]
[-9856, -19870]
[-49883, 30181]
[-29877, 10163]
[30192, 20171]
[20191, -29876]
[40192, 50206]
[-49891, -29876]
[50174, -9857]
[-49904, -9862]
[-9860, -9862]
]

[
[4, 1]
[-1, -1]
[5, -5]
[3, 3]
[1, 4]
[2, -4]
[1, 2]
[3, -1]
[3, 5]
[2, 3]
[5, 4]
[5, 4]
[4, -5]
[-5, -2]
[1, -3]
[-4, -5]
[5, -3]
[-1, 2]
[5, -1]
[4, 2]
[-5, 1]
[2, 3]
[3, 3]
[-1, -2]
[1, -2]
[-2, 3]
[4, -5]
[1, -2]
[5, 4]
[-2, 4]
[4, 3]
[-3, 5]
[1, 1]
[1, -3]
[5, 5]
[5, 3]
[1, -4]
[-2, -4]
[-3, -2]
[-5, -2]
[-4, -1]
[3, -4]
[-1, -2]
[-2, -1]
[1, -1]
[-1, -5]
[1, -2]
[-5, -1]
[-5, 2]
[2, 4]
[-4, 3]
[-2, 5]
[-1, 1]
[-1, -3]
[-3, 1]
[-2, -4]
[-2, 5]
[-2, 4]
[-3, -2]
[5, -1]
[-4, 1]
[-5, 1]
[3, -2]
[-2, -2]
[5, -3]
[-4, -1]
[-4, 5]
[4, 5]
[-2, 1]
[5, -2]
[-1, -1]
[-3, -5]
[-2, -1]
